dim,total,iter,pi_est,count
2,50000000,5,3.14166952,39270869
2,50000000,6,3.14173680,39271710
2,50000000,7,3.14142264,39267783
2,50000000,8,3.14164120,39270515
2,50000000,9,3.14181552,39272694
2,50000000,10,3.14165024,39270628
2,50000000,11,3.14156104,39269513
2,50000000,12,3.14177984,39272248
2,50000000,13,3.14147312,39268414
2,50000000,14,3.14150928,39268866
2,50000000,15,3.14167264,39270908
2,50000000,16,3.14179800,39272475
2,50000000,17,3.14130048,39266256
2,50000000,18,3.14160720,39270090
2,50000000,19,3.14167048,39270881
2,50000000,20,3.14148712,39268589
2,50000000,21,3.14149936,39268742
2,50000000,22,3.14172664,39271583
2,50000000,23,3.14147472,39268434
2,50000000,24,3.14146056,39268257
2,50000000,25,3.14184440,39273055
2,50000000,26,3.14163704,39270463
2,50000000,27,3.14142160,39267770
2,50000000,28,3.14162968,39270371
2,50000000,29,3.14160488,39270061
2,50000000,30,3.14155392,39269424
2,50000000,31,3.14163984,39270498
2,50000000,32,3.14160024,39270003
2,50000000,33,3.14136136,39267017
2,50000000,34,3.14149976,39268747
2,50000000,35,3.14161280,39270160
2,50000000,36,3.14175680,39271960
2,50000000,37,3.14160816,39270102
2,50000000,38,3.14160800,39270100
2,50000000,39,3.14155200,39269400
2,50000000,40,3.14164832,39270604
2,50000000,41,3.14163144,39270393
2,50000000,42,3.14176880,39272110
2,50000000,43,3.14166040,39270755
2,50000000,44,3.14145312,39268164
2,50000000,45,3.14155440,39269430
2,50000000,46,3.14161000,39270125
2,50000000,47,3.14153600,39269200
2,50000000,48,3.14155896,39269487
2,50000000,49,3.14156032,39269504
2,50000000,50,3.14154952,39269369
2,50000000,51,3.14179392,39272424
2,50000000,52,3.14181912,39272739
2,50000000,53,3.14152536,39269067
2,50000000,54,3.14168320,39271040
2,50000000,55,3.14180696,39272587
2,50000000,56,3.14145992,39268249
2,50000000,57,3.14163056,39270382
2,50000000,58,3.14171528,39271441
2,50000000,59,3.14152152,39269019
2,50000000,60,3.14130216,39266277
2,50000000,61,3.14169336,39271167
2,50000000,62,3.14157096,39269637
2,50000000,63,3.14156984,39269623
2,50000000,64,3.14166256,39270782
2,50000000,65,3.14167704,39270963
2,50000000,66,3.14149328,39268666
2,50000000,67,3.14162496,39270312
2,50000000,68,3.14182320,39272790
2,50000000,69,3.14151512,39268939
2,50000000,70,3.14156144,39269518
2,50000000,71,3.14159968,39269996
2,50000000,72,3.14168448,39271056
2,50000000,73,3.14148088,39268511
2,50000000,74,3.14161728,39270216
2,50000000,75,3.14167120,39270890
2,50000000,76,3.14130696,39266337
2,50000000,77,3.14150352,39268794
2,50000000,78,3.14167568,39270946
2,50000000,79,3.14166184,39270773
2,50000000,80,3.14141880,39267735
2,50000000,81,3.14161464,39270183
2,50000000,82,3.14161008,39270126
2,50000000,83,3.14151328,39268916
2,50000000,84,3.14157584,39269698
2,50000000,85,3.14170048,39271256
2,50000000,86,3.14146056,39268257
2,50000000,87,3.14149576,39268697
2,50000000,88,3.14160968,39270121
2,50000000,89,3.14149256,39268657
2,50000000,90,3.14157952,39269744
2,50000000,91,3.14155880,39269485
2,50000000,92,3.14153464,39269183
2,50000000,93,3.14151824,39268978
2,50000000,94,3.14175160,39271895
2,50000000,95,3.14165968,39270746
2,50000000,96,3.14159256,39269907
2,50000000,97,3.14165536,39270692
2,50000000,98,3.14164448,39270556
2,50000000,99,3.14166352,39270794
2,50000000,summary,3.14159586,0.00011346
